假名,日语汉字,中文翻译,容易混淆的单词,混淆词翻译
あう,会う,见面,かう,买
あおい,青い,蓝色的,あかい,红色的
あかい,赤い,红色的,あかるい,明亮的
あかるい,明るい,明亮的,くらい,昏暗的
あき,秋,秋天,はる,春天
あく,開く,打开（自）,しまる,关闭（自）
あける,開ける,打开（他）,しめる,关闭（他）
あげる,上げる,给；举起,もらう,得到
あさ,朝,早上,よる,晚上
あさごはん,朝ご飯,早饭,ひるごはん,午饭
あさって,明後日,后天,きのう,昨天
あし,足,脚；腿,て,手
あした,明日,明天,きょう,今天
あそこ,,那里,ここ,这里
あそぶ,遊ぶ,玩,まなぶ,学习
あたたかい,暖かい,温暖的,つめたい,冰冷的
あたま,頭,头,からだ,身体
あたらしい,新しい,新的,ふるい,旧的
あちら,,那边（礼貌）,こちら,这边（礼貌）
あつい,暑い,炎热的（天气）,さむい,寒冷的（天气）
あつい,厚い,厚的（物体）,うすい,薄的
あと,後,之后；后面,まえ,之前；前面
あなた,,你,わたし,我
あに,兄,哥哥（称呼自己的）,おにいさん,哥哥（称呼别人的）
あね,姉,姐姐（称呼自己的）,おねえさん,姐姐（称呼别人的）
あの,,那个（远）,この,这个（近）
アパート,,公寓,マンション,高级公寓
あびる,浴びる,淋浴,あらう,洗
あぶない,危ない,危险的,あんぜん,安全的
あまい,甘い,甜的,からい,辣的
あまり,,不太（后接否定）,たくさん,很多
あめ,雨,雨,ゆき,雪
あめ,飴,糖果,くすり,药
あらう,洗う,洗,ふく,擦
ある,有る,有（无生命）,いる,有（有生命）
あるく,歩く,走路,はしる,跑
あれ,,那个（远）,これ,这个
いい,良い,好的,わるい,坏的
いいえ,,不,はい,是
いう,言う,说,きく,听；问
いえ,家,家；房子,うち,家；内部
いかが,,怎么样（礼貌）,どう,怎么样
いく,行く,去,くる,来
いくつ,,几个；几岁,いくら,多少钱
いけ,池,池塘,うみ,海
いしゃ,医者,医生,かんごし,护士
いす,椅子,椅子,つくえ,桌子
いそがしい,忙しい,忙碌的,ひま,空闲的
いたい,痛い,疼的,かゆい,痒的
いち,一,一,なな,七
いちにち,一日,一天,いちじ,一点钟
いちばん,一番,最；第一,にばん,第二
いつ,,何时,どこ,何地
いつか,五日,五号；五天,ようか,八号；八天
いっしょに,一緒に,一起,ひとりで,一个人
いつつ,五つ,五个,よっつ,四个
いつも,,总是,ときどき,有时
いぬ,犬,狗,ねこ,猫
いま,今,现在,むかし,以前
いみ,意味,意思,もじ,文字
いもうと,妹,妹妹（称呼自己的）,いもうとさん,妹妹（称-别人的）
いや,嫌,讨厌的,すき,喜欢的
いりぐち,入口,入口,でぐち,出口
いる,要る,需要,すてる,扔掉
いる,居る,在（有生命）,ある,在（无生命）
いれる,入れる,放入,だす,拿出
いろ,色,颜色,かたち,形状
いろいろ,,各种各样的,おなじ,相同的
うえ,上,上面,した,下面
うしろ,後ろ,后面,まえ,前面
うすい,薄い,薄的,あつい,厚的
うた,歌,歌曲,おんがく,音乐
うたう,歌う,唱歌,おどる,跳舞
うち,,家,そと,外面
うまれる,生まれる,出生,しぬ,死
うみ,海,海,かわ,河
うる,売る,卖,かう,买
うわぎ,上着,上衣；外套,したぎ,内衣
え,絵,画,しゃしん,照片
えいが,映画,电影,えいがかん,电影院
えいご,英語,英语,にほんご,日语
ええ,,是（口语）,ううん,不（口语）
えき,駅,车站,くうこう,机场
エレベーター,,电梯,エスカレーター,自动扶梯
えん,円,日元,ドル,美元
えんぴつ,鉛筆,铅笔,ボールペン,圆珠ペン
お-,お,（美化语）,ご,（美化语）
おいしい,美味しい,好吃的,まずい,难吃的
おおい,多い,多的,すくない,少的
おおきい,大きい,大的,ちいさい,小的
おおぜい,大勢,许多（人）,すこし,少许
おかあさん,お母さん,妈妈（称呼别人的）,はは,妈妈（称呼自己的）
おかし,お菓子,点心,ごはん,米饭
おかね,お金,钱,カード,卡
おきる,起きる,起床,ねる,睡觉
おく,置く,放置,とる,拿
おくさん,奥さん,夫人；（别人的）妻子,つま,妻子（自己的）
おさけ,お酒,酒,みず,水
おさら,お皿,盘子,コップ,杯子
おじいさん,お祖父さん,爷爷；外公,おばあさん,奶奶；外婆
おしえる,教える,教,ならう,学习
おじさん,伯父さん/叔父さん,伯父；叔叔,おばさん,伯母；阿姨
おす,押す,按；推,ひく,拉；拽
おそい,遅い,慢的；晚的,はやい,快的；早的
おちゃ,お茶,茶,こうちゃ,红茶
おてあらい,お手洗い,洗手间,トイレ,厕所
おとうさん,お父さん,爸爸（称呼别人的）,ちち,爸爸（称呼自己的）
おとうと,弟,弟弟（称呼自己的）,おとうとさん,弟弟（称呼别人的）
おとこ,男,男人,おんな,女人
おとこのこ,男の子,男孩,おんなのこ,女孩
おととい,一昨日,前天,あさって,后天
おととし,一昨年,前年,らいねん,明年
おとな,大人,大人,こども,小孩
おなか,,肚子,せなか,后背
おなじ,同じ,相同的,ちがう,不同的
おにいさん,お兄さん,哥哥（称呼别人的）,あに,哥哥（称呼自己的）
おねえさん,お姉さん,姐姐（称呼别人的）,あね,姐姐（称呼自己的）
おばさん,伯母さん/叔母さん,伯母；阿姨,おじさん,伯父；叔叔
おばあさん,お祖母さん,奶奶；外婆,おじいさん,爷爷；外公
おふろ,お風呂,澡堂；浴缸,シャワー,淋浴
おべんとう,お弁当,便当,しょくじ,餐食
おぼえる,覚える,记住,わすれる,忘记
おもい,重い,重的,かるい,轻的
おもしろい,面白い,有趣的,つまらない,无聊的
およぐ,泳ぐ,游泳,あるく,走路
おりる,降りる,下（车、山）,のる,上（车、山）
おわる,終わる,结束,はじまる,开始
おんがく,音楽,音乐,うた,歌曲
おんな,女,女人,おとこ,男人
おんなのこ,女の子,女孩,おとこのこ,男孩
かい,～回,～次,～かい,～楼
がいこく,外国,外国,じぶんのくに,自己的国家
がいこくじん,外国人,外国人,にほんじん,日本人
かいしゃ,会社,公司,がっこう,学校
かいだん,階段,楼梯,エレベーター,电梯
かいもの,買い物,购物,さんぽ,散步
かう,買う,买,うる,卖
かえす,返す,归还,かりる,借入
かえる,帰る,回家；回去,いく,去
かお,顔,脸,て,手
かかる,,花费（时间、金钱）,はらう,支付
かぎ,鍵,钥匙,ドア,门
かく,書く,写,よむ,读
がくせい,学生,学生,せんせい,老师
かける,,打电话,でんわ,电话
かさ,傘,伞,ぼうし,帽子
かす,貸す,借出,かりる,借入
かぜ,風,风,あめ,雨
かぜ,風邪,感冒,びょうき,病
かぞく,家族,家人,ともだち,朋友
かた,方,位（人的礼貌量词）,かた,方法
かたかな,片仮名,片假名,ひらがな,平假名
がつ,～月,～月,にち,～日
がっこう,学校,学校,きょうしつ,教室
カップ,,杯子,グラス,玻璃杯
かてい,家庭,家庭,しょくば,职场
かど,角,拐角,みち,路
かばん,鞄,包,さいふ,钱包
かびん,花瓶,花瓶,はな,花
かぶる,被る,戴（帽子等）,きる,穿（衣服）
かみ,紙,纸,てがみ,信
かみ,髪,头发,かお,脸
カメラ,,相机,しゃしん,照片
からい,辛い,辣的,あまい,甜的
からだ,体,身体,あたま,头
かりる,借りる,借入,かす,借出
かるい,軽い,轻的,おもい,重的
カレンダー,,日历,てちょう,记事本
かわ,川,河,うみ,海
～がわ,～側,～边,～ほう,～方
かわいい,可愛い,可爱的,きれい,漂亮的
かんじ,漢字,汉字,かな,假名
き,木,树,もり,森林
きいろい,黄色い,黄色的,しろい,白色的
きえる,消える,消失；熄灭,つく,亮起
きく,聞く,听；问,はなす,说
きた,北,北,みなみ,南
ギター,,吉他,ピアノ,钢琴
きたない,汚い,脏的,きれい,干净的
きっさてん,喫茶店,咖啡店,レストラン,餐厅
きって,切手,邮票,はがき,明信片
きのう,昨日,昨天,あした,明天
きゅう,九,九,じゅう,十
ぎゅうにく,牛肉,牛肉,ぶたにく,猪肉
ぎゅうにゅう,牛乳,牛奶,ジュース,果汁
きょう,今日,今天,きのう,昨天
きょうしつ,教室,教室,としょかん,图书馆
